Year,Total
2013,10887000
2013,11827000
2013,11587000
2013,9934893
2013,4542443
2013,33373559
2013,16901334
2013,5900000
2013,3700000
2013,380851
2013,723628
2013,1448435
2013,6508719
2013,28358647
2013,8712136
2013,29681749
2013,9972601
2013,9304876
2013,4227661
2013,4635140
2013,8028451
2013,13546876
2013,21135908
2013,277400
2013,21798000
2013,6764000
2013,19600000
2013,65000000
2013,26952000
2013,2346000
2013,8249000
2013,809816
2013,8516000
2013,2600080
2014,25028988
2014,19765485
2014,59893612
2014,26743300
2014,15647400
2014,10948000
2014,11946300
2014,5788700
2014,5788700
2014,7457500
2014,7457500
2014,11939000
2014,11917200
2014,10000000
2014,21470430
2014,17386150
2014,1196567
2014,732936
2014,1467459
2014,25970400
2014,6395064
2014,9142373
2014,32028756
2014,10420817
2014,15218379
2014,3563709
2014,8482830
2014,13638743
2014,21348596
2014,297400
2014,22658000
2014,4906000
2014,65455000
2014,13579000
2014,27249000
2014,2312000
2014,8137000
2014,2946059
2014,8765000
2014,2971630
2015,22817058
2015,42995846
2015,23906459
2015,20762573
2015,24445100
2015,15117000
2015,8306200
2015,10243000
2015,2496500
2015,5881300
2015,5852200
2015,6628800
2015,6820800
2015,10277300
2015,11380400
2015,1165309
2015,747922
2015,1460015
2015,6513515
2015,23868519
2015,17478583
2015,31396973
2015,11826533
2015,14752476
2015,3444433
2015,31138791
2015,11183247
2015,7879634
2015,220000
2015,13370294
2015,1913000
2015,21152000
2015,4945000
2015,4694000
2015,7000000
2015,62582387
2015,12617092
2015,28822000
2015,8380000
2015,2333519
2015,8174000
2015,2902360
